id	effectiveTime	active	moduleId	refSetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId	mapCategoryId
2c141272-bbc0-5c34-aa48-72f2dc370ead	20130731	1	449080006	447562003	10001005	1	1	TRUE	ALWAYS A41.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	A41.9	447561005	447637006
8df7a483-ae01-5416-a991-e5eb91fd1041	20140131	1	449080006	447562003	10137002	1	2	OTHERWISE TRUE	ALWAYS T20.1 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T20.1	447561005	447637006
af52f645-a370-5823-a1de-d30aa32ea1a6	20140131	1	449080006	447562003	10137002	1	1	IFA 284206007 | Superficial corrosion of chin (disorder) |	IF SUPERFICIAL CORROSION OF CHIN CHOOSE T20.5 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T20.5	447561005	447639009
5b2d4e7e-6f2a-5193-896f-571abdd6defe	20130731	1	449080006	447562003	103011009	1	1	TRUE	ALWAYS G44.8	G44.8	447561005	447637006
dba01e8d-df9f-5cc5-976e-3e77c4e36e55	20130731	1	449080006	447562003	105480006	1	2	OTHERWISE TRUE	ALWAYS Z53.2	Z53.2	447561005	447637006
edf135a5-d4fb-551f-9013-b01e03da6cce	20130731	1	449080006	447562003	105480006	1	1	IFA 591000119102 | Vaccine refused by patient (situation) |	MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
3c2a8079-0587-5391-9881-173068b96a96	20130731	1	449080006	447562003	1055001	1	2	IFA 90520006 | Vertebral artery stenosis (disorder) |	IF VERTEBRAL ARTERY STENOSIS CHOOSE I65.0 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	I65.0	447561005	447639009
7d4eaa19-fde7-5eff-b76a-9dc0ef3d0dbb	20130731	1	449080006	447562003	1055001	1	3	OTHERWISE TRUE	ALWAYS I65.9	I65.9	447561005	447637006
ad3049d6-e6a4-500c-9836-7ef5b5d95918	20130731	1	449080006	447562003	1055001	1	1	IFA 73192008 | Multiple AND bilateral precerebral artery stenosis (disorder) |	IF MULTIPLE AND BILATERAL PRECEREBRAL ARTERY STENOSIS CHOOSE I65.3 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	I65.3	447561005	447639009
5a49a7c2-26b5-5a7c-a9a4-b63e3ed16b2c	20140131	0	449080006	447562003	105592009	1	1	TRUE	ALWAYS A41.9 | DESCENDANTS NOT EXHAUSTIVELY MAPPED	A41.9	447561005	447637006
1013df72-a1d1-53d6-a4d3-fda1d144895d	20140604	1	449080006	447562003	105597003	1	1	TRUE	DESCENDANTS NOT EXHAUSTIVELY MAPPED | MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
a1933d8c-4327-54b6-90d4-3224ab0ef36d	20130731	1	449080006	447562003	105606008	1	1	TRUE	DESCENDANTS NOT EXHAUSTIVELY MAPPED | MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
a301b555-ff1a-5e35-a8bd-4afd1dd67b27	20140131	1	449080006	447562003	105615001	1	1	TRUE	ALWAYS T09.1 | DESCENDANTS NOT EXHAUSTIVELY MAPPED | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	T09.1	447561005	447637006
7738afe2-2ca2-5bcf-a3f1-3778810f247d	20140131	1	449080006	447562003	105616000	1	1	TRUE	DESCENDANTS NOT EXHAUSTIVELY MAPPED | MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
546ba846-3fce-5de3-ab5f-c9f7421748cf	20130731	1	449080006	447562003	105649009	1	1	TRUE	DESCENDANTS NOT EXHAUSTIVELY MAPPED | MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
