id	effectiveTime	active	moduleId	refSetId	referencedComponentId	mapGroup	mapPriority	mapRule	mapAdvice	mapTarget	correlationId	mapCategoryId
5052d787-95f3-59ed-9b63-302127b18294	20130731	1	449080006	447562003	241006	1	1	IFA 230405003 | Chronic progressive epilepsia partialis continua of childhood (disorder) |	IF CHRONIC PROGRESSIVE EPILEPSIA PARTIALIS CONTINUA OF CHILDHOOD CHOOSE G40.5 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR CAUSATIVE AGENT CODE	G40.5	447561005	447639009
0928310a-8e6f-5722-915f-0f5e0a5259ee	20130731	1	449080006	447562003	241006	1	2	OTHERWISE TRUE	ALWAYS G40.5	G40.5	447561005	447637006
46fe49ab-2b01-5c1f-9e17-5f56a23c9926	20150131	1	449080006	447562003	368009	1	1	TRUE	ALWAYS I38	I38	447561005	447637006
c6f83b22-8d8d-5d66-84f6-fb3c663efc58	20150131	1	449080006	447562003	563001	1	1	TRUE	ALWAYS H55	H55	447561005	447637006
41c21b7d-1e2b-5fe0-92d4-f71923d76f2f	20150131	1	449080006	447562003	568005	1	1	TRUE	ALWAYS F95.9	F95.9	447561005	447637006
71b99868-3365-56b3-8bf6-5b60031af3fb	20140131	1	449080006	447562003	649002	1	1	IFA 88116004 | Open fracture of lower end of radius AND ulna (disorder) |	IF OPEN FRACTURE OF LOWER END OF RADIUS AND ULNA CHOOSE S52.61 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S52.61	447561005	447639009
daa84e8a-8061-56e0-afa2-2e87fab768b2	20140131	1	449080006	447562003	649002	1	2	OTHERWISE TRUE	ALWAYS S52.81 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S52.81	447561005	447637006
ad3049d6-e6a4-500c-9836-7ef5b5d95918	20130731	1	449080006	447562003	1055001	1	1	IFA 73192008 | Multiple AND bilateral precerebral artery stenosis (disorder) |	IF MULTIPLE AND BILATERAL PRECEREBRAL ARTERY STENOSIS CHOOSE I65.3 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	I65.3	447561005	447639009
3c2a8079-0587-5391-9881-173068b96a96	20130731	1	449080006	447562003	1055001	1	2	IFA 90520006 | Vertebral artery stenosis (disorder) |	IF VERTEBRAL ARTERY STENOSIS CHOOSE I65.0 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	I65.0	447561005	447639009
7d4eaa19-fde7-5eff-b76a-9dc0ef3d0dbb	20130731	1	449080006	447562003	1055001	1	3	OTHERWISE TRUE	ALWAYS I65.9	I65.9	447561005	447637006
4ff869e9-d8a0-5603-96c7-bcb7462d9aba	20150131	1	449080006	447562003	1145003	1	1	TRUE	ALWAYS F80.9	F80.9	447561005	447637006
c6a74d10-83d5-525f-8b6c-6f16396e8aa3	20150131	1	449080006	447562003	1261007	1	1	TRUE	ALWAYS S22.40 | MAPPED FOLLOWING WHO GUIDANCE	S22.40	447561005	447637006
e12cd711-9951-595c-9755-37f6dcd6b639	20150131	1	449080006	447562003	1370007	1	1	TRUE	ALWAYS S62.31 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S62.31	447561005	447637006
a4cac39c-d422-5175-a1fe-f3027b71064f	20150131	1	449080006	447562003	1386000	1	1	TRUE	ALWAYS I62.9	I62.9	447561005	447637006
a826ea59-4fe4-5555-b785-6beb6a3ff5bd	20150131	1	449080006	447562003	1679003	1	1	TRUE	MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
fbfbcea7-9f1b-540d-8717-8a10e87ff05a	20150131	1	449080006	447562003	1847009	1	1	TRUE	ALWAYS H44.0	H44.0	447561005	447637006
0fa85238-d5fa-56fa-b626-f6c30f383afc	20150131	1	449080006	447562003	1860003	1	1	TRUE	ALWAYS E87.8	E87.8	447561005	447637006
4cf77d13-1c70-5ab3-8911-71594de64fc7	20150131	1	449080006	447562003	1912002	1	1	TRUE	ALWAYS W19 | POSSIBLE REQUIREMENT FOR PLACE OF OCCURRENCE | THIS IS AN EXTERNAL CAUSE CODE FOR USE IN A SECONDARY POSITION	W19	447561005	447637006
56fbb990-1119-5002-a8fd-0e826ba3a81f	20150131	1	449080006	447562003	2012002	1	1	TRUE	ALWAYS S62.10 | MAPPED FOLLOWING WHO GUIDANCE | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S62.10	447561005	447637006
5b5eddf3-f3c0-5c31-aa5c-174e8197fa06	20130731	1	449080006	447562003	2055003	1	1	TRUE	ALWAYS H18.8	H18.8	447561005	447637006
68505313-0bec-5a46-ba16-cb5a7c069d16	20150131	1	449080006	447562003	2492009	1	1	TRUE	ALWAYS E63.9	E63.9	447561005	447637006
b3318d36-398c-58d0-ba67-9c2dcce05a1a	20150131	1	449080006	447562003	2775001	1	1	TRUE	ALWAYS M24.09	M24.09	447561005	447637006
c8f9f115-fddf-5735-b4b4-0418ebd4bded	20150131	1	449080006	447562003	2929001	1	1	TRUE	ALWAYS I74.9	I74.9	447561005	447637006
5773bf26-d700-5b4a-89c7-d942b1092b31	20150131	1	449080006	447562003	3110003	1	1	TRUE	ALWAYS H66.9	H66.9	447561005	447637006
e666380b-1b16-5ef6-b98f-9365f447b444	20150131	1	449080006	447562003	3218000	1	1	TRUE	ALWAYS B49	B49	447561005	447637006
ed080f20-f9ca-5f62-9e08-1a928c2dead5	20130731	1	449080006	447562003	3228009	1	1	TRUE	ALWAYS S52.30 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S52.30	447561005	447637006
e306e2a4-cee6-5524-a54a-c6bab512dc15	20140131	1	449080006	447562003	3331008	1	1	IFA 208423006 | Open fracture thumb metacarpal neck (disorder) |	IF OPEN FRACTURE THUMB METACARPAL NECK CHOOSE S62.21 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S62.21	447561005	447639009
392168e0-67a1-5fff-8aef-22ab7040a44d	20140131	1	449080006	447562003	3331008	1	2	OTHERWISE TRUE	ALWAYS S62.31 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S62.31	447561005	447637006
d9040ca7-fcd6-5fd7-95b8-493eea0ccb40	20130731	1	449080006	447562003	3381004	1	1	TRUE	ALWAYS S92.11 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S92.11	447561005	447637006
62845558-10b9-583b-a47a-260ffc9694fe	20150131	1	449080006	447562003	3716002	1	1	TRUE	ALWAYS E04.9	E04.9	447561005	447637006
b2e48def-7476-5bb9-84f8-055e845f4966	20150131	1	449080006	447562003	3723001	1	1	TRUE	ALWAYS M13.99	M13.99	447561005	447637006
a14cb8a7-8e17-55a6-aad4-878418fe5127	20150131	1	449080006	447562003	3738000	1	1	TRUE	ALWAYS B19.9	B19.9	447561005	447637006
e34c1048-a824-5661-a922-0fef2b1809a0	20150131	1	449080006	447562003	3855007	1	1	TRUE	ALWAYS K86.9	K86.9	447561005	447637006
b6d75271-ec54-5d57-a87f-3b2f02f03634	20150131	1	449080006	447562003	4009004	1	1	TRUE	ALWAYS N39.0 | POSSIBLE REQUIREMENT FOR CAUSATIVE AGENT CODE	N39.0	447561005	447637006
82c34f47-b20a-5522-9ced-9de04cb0cb2c	20130731	1	449080006	447562003	4320005	1	1	IFA 35913006 | Acquired factor V deficiency disease (disorder) |	IF ACQUIRED FACTOR V DEFICIENCY DISEASE CHOOSE D68.4 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	D68.4	447561005	447639009
40b9b8c2-e625-5218-8393-9dd23579a9e4	20130731	1	449080006	447562003	4320005	1	2	OTHERWISE TRUE	ALWAYS D68.2	D68.2	447561005	447637006
5c56493c-26fd-5490-aaa8-0613f2ee60a6	20150131	1	449080006	447562003	4406004	1	1	TRUE	ALWAYS Q55.9	Q55.9	447561005	447637006
43551dce-4dab-5530-a291-5c2a7397c76a	20140131	1	449080006	447562003	4473006	1	1	IFA 423683008 | Refractory migraine with aura (disorder) |	IF REFRACTORY MIGRAINE WITH AURA CHOOSE G43.1 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	G43.1	447561005	447639009
d2d8874a-26d6-5ff1-81cc-07ebc8418a11	20140131	0	449080006	447562003	4473006	1	1	TRUE	ALWAYS G43.1	G43.1	447561005	447637006
5037acd3-09f9-5c33-8d33-333b22889d6e	20140131	1	449080006	447562003	4473006	1	2	OTHERWISE TRUE	ALWAYS G43.1	G43.1	447561005	447637006
e8c5288d-a14b-56e7-8105-88609d7a7e23	20150131	1	449080006	447562003	4494009	1	1	IFA 235774002 | Colonic diverticular abscess (disorder) |	IF COLONIC DIVERTICULAR ABSCESS CHOOSE K57.2 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	K57.2	447561005	447639009
5559e4a8-0776-58ad-aade-9d96c6913a9d	20150131	1	449080006	447562003	4494009	1	2	IFA 76953007 | Diverticulitis of colon with perforation (disorder) |	IF DIVERTICULITIS OF COLON WITH PERFORATION CHOOSE K57.2 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	K57.2	447561005	447639009
9ec1c28a-6cc9-5411-8d66-c24af471d1fe	20140131	1	449080006	447562003	4494009	1	3	OTHERWISE TRUE	ALWAYS K57.3	K57.3	447561005	447637006
790e2a6e-5e5c-5cc4-a8e6-897e8fc32d33	20150131	1	449080006	447562003	4619009	1	1	TRUE	ALWAYS R56.8	R56.8	447561005	447637006
642f08f6-3c86-581c-8e37-10672ee84459	20140131	1	449080006	447562003	4673003	1	1	IFA 26908008 | Open bimalleolar fracture (disorder) |	IF OPEN BIMALLEOLAR FRACTURE CHOOSE S82.81 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S82.81	447561005	447639009
4324d2d9-7df8-5d6f-86a4-284504f8514b	20140131	1	449080006	447562003	4673003	1	2	OTHERWISE TRUE	ALWAYS S82.61 | POSSIBLE REQUIREMENT FOR AN EXTERNAL CAUSE CODE	S82.61	447561005	447637006
9abeba02-b626-5eaf-862e-82ec9ffc42f1	20150131	1	449080006	447562003	4985009	1	1	TRUE	ALWAYS N36.9	N36.9	447561005	447637006
54123f69-791a-5d73-96f5-54450ab3d830	20130731	1	449080006	447562003	5029005	1	1	TRUE	ALWAYS M67.0	M67.0	447561005	447637006
153e92a5-3049-5953-84ad-ca01885cf2ce	20150131	1	449080006	447562003	5294002	1	1	TRUE	ALWAYS F89	F89	447561005	447637006
2e0b7061-e2b7-5602-aa9d-6b4c5ebf2aba	20150131	1	449080006	447562003	5552004	1	1	TRUE	ALWAYS N83.9	N83.9	447561005	447637006
3c3c1151-b3d0-5e05-8820-8a600f0cc279	20150131	1	449080006	447562003	5913000	1	1	TRUE	ALWAYS S72.00 | MAPPED FOLLOWING WHO GUIDANCE	S72.00	447561005	447637006
f5e33dfc-9695-5eb5-a3cf-4140cbfb3fde	20150131	1	449080006	447562003	5964004	1	1	TRUE	ALWAYS K62.9	K62.9	447561005	447637006
e8718f0a-b2c8-5c65-8a5e-3c47e19ddd42	20150131	1	449080006	447562003	6118003	1	1	TRUE	ALWAYS G37.9	G37.9	447561005	447637006
42270650-a2be-5760-9b75-f782a3bf2160	20150131	1	449080006	447562003	6141006	1	1	TRUE	ALWAYS H35.8	H35.8	447561005	447637006
eed046c6-c4e3-5cdf-a6c7-e1c99b655c22	20150131	1	449080006	447562003	6142004	1	1	TRUE	ALWAYS J11.1	J11.1	447561005	447637006
f3f94b89-ed72-53d4-b3e0-c11f0a90a166	20130731	1	449080006	447562003	6204001	1	1	TRUE	ALWAYS G40.3	G40.3	447561005	447637006
ad540174-b988-5e3c-be9f-90aaaa7455bd	20130731	1	449080006	447562003	6208003	1	1	TRUE	ALWAYS G40.3	G40.3	447561005	447637006
64e3457c-dc59-5018-9309-9f59886050fa	20130731	1	449080006	447562003	6211002	1	1	IFA 201972000 | Allergic arthritis of multiple sites (disorder) |	IF ALLERGIC ARTHRITIS OF MULTIPLE SITES CHOOSE M13.80 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	M13.80	447561005	447639009
257e3d0f-8f1b-5b6d-aa0c-85e857db24f4	20130731	1	449080006	447562003	6211002	1	2	IFA 422565003 | Post-infective polyarthritis (disorder) |	IF POST-INFECTIVE POLYARTHRITIS CHOOSE B99 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT | POSSIBLE REQUIREMENT FOR ADDITIONAL CODE TO FULLY DESCRIBE DISEASE OR CONDITION	B99	447561005	447639009
1beb2a60-531b-5108-b287-855ff340ada5	20130731	1	449080006	447562003	6211002	1	3	OTHERWISE TRUE	MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
93ad6dcd-1812-5750-aa0c-2c4765dfb7df	20130731	1	449080006	447562003	6211002	2	1	IFA 422565003 | Post-infective polyarthritis (disorder) |	IF POST-INFECTIVE POLYARTHRITIS CHOOSE M01.89 | MAP OF SOURCE CONCEPT IS CONTEXT DEPENDENT	M01.89	447561005	447639009
56446fe2-2631-5ed7-a4ec-d7781be3bbad	20130731	1	449080006	447562003	6211002	2	2	OTHERWISE TRUE	MAP SOURCE CONCEPT CANNOT BE CLASSIFIED WITH AVAILABLE DATA		447561005	447638001
b5cf5aaa-f001-59da-926a-5f7b5079f9d6	20150131	1	449080006	447562003	6285003	1	1	TRUE	ALWAYS R00.0	R00.0	447561005	447637006
