id	effectiveTime	active	moduleId	conceptId	languageCode	typeId	term	caseSignificanceId
10001000124113	20120901	0	731000124108	3601000124109	en	900000000000013009	Serotype O117:H7	900000000000448009
100017011	20020131	1	900000000000207008	60214001	en	900000000000013009	Open fracture of ilium	900000000000020002
1001000124115	20110301	1	731000124108	421000124100	en	900000000000013009	Hemodialysis session time	900000000000448009
10011000119113	20120901	1	731000124108	1261000119108	en	900000000000003001	History of medication noncompliance (situation)	900000000000448009
10011000124111	20120901	0	731000124108	3611000124107	en	900000000000003001	Escherichia coli, serogroup O116 (organism)	900000000000017005
100114019	20020131	1	900000000000207008	60260004	en	900000000000013009	Histidine	900000000000020002
10021000119118	20120901	1	731000124108	1261000119108	en	900000000000013009	History of medication noncompliance	900000000000448009
10021000124115	20120901	0	731000124108	3611000124107	en	900000000000013009	Escherichia coli, serogroup O116	900000000000017005
100241018	20020131	1	900000000000207008	60342002	en	900000000000013009	Movement disorder	900000000000020002
100242013	20020131	0	900000000000207008	60342002	en	900000000000013009	Movement disorder, NOS	900000000000020002
100304016	20020131	1	900000000000207008	60380001	en	900000000000013009	Narcolepsy	900000000000020002
100305015	20020131	1	900000000000207008	60380001	en	900000000000013009	Paroxysmal sleep	900000000000020002
100306019	20020131	1	900000000000207008	60380001	en	900000000000013009	Gelineau's syndrome	900000000000017005
10031000124117	20120901	0	731000124108	3611000124107	en	900000000000013009	Serogroup O116	900000000000448009
100385018	20020131	1	900000000000207008	60413009	en	900000000000013009	Rib cage	900000000000020002
100386017	20020131	0	900000000000207008	60413009	en	900000000000013009	Rib cage, NOS	900000000000020002
10041000124110	20120301	1	731000124108	3621000124104	en	900000000000003001	Escherichia coli, serotype O116:Nonmotile (organism)	900000000000017005
100430018	20020131	1	900000000000207008	60442001	en	900000000000013009	Perforation of tympanic membrane	900000000000020002
100431019	20020131	0	900000000000207008	60442001	en	900000000000013009	Perforation of tympanic membrane, NOS	900000000000020002
